,time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
57,2014-02-27T00:00:00.0000000Z,2014-02-28T00:00:00.0000000Z,2014-02-27T00:00:19.0000000Z,2014-02-27T23:58:57.0000000Z,585.24,629.9,571.22,583.0,17093.83719823,11759
58,2014-02-28T00:00:00.0000000Z,2014-03-01T00:00:00.0000000Z,2014-02-28T00:01:25.0000000Z,2014-02-28T23:59:56.0000000Z,584.7,599.0,541.0,551.89,22663.6458647,16113
59,2014-03-01T00:00:00.0000000Z,2014-03-02T00:00:00.0000000Z,2014-03-01T00:00:00.0000000Z,2014-03-01T23:58:54.0000000Z,551.8,605.0,535.0,567.47,14311.98332379,9965
60,2014-03-02T00:00:00.0000000Z,2014-03-03T00:00:00.0000000Z,2014-03-02T00:01:37.0000000Z,2014-03-02T23:58:48.0000000Z,567.46,588.079,553.0,566.24,6439.56021574,4902
61,2014-03-03T00:00:00.0000000Z,2014-03-04T00:00:00.0000000Z,2014-03-03T00:00:00.0000000Z,2014-03-03T23:59:47.0000000Z,565.38,710.0,562.02,677.69,64982.66446474,30821
62,2014-03-04T00:00:00.0000000Z,2014-03-05T00:00:00.0000000Z,2014-03-04T00:00:01.0000000Z,2014-03-04T23:59:34.0000000Z,677.69,720.0,633.64,673.0,28059.03839664,21636
63,2014-03-05T00:00:00.0000000Z,2014-03-06T00:00:00.0000000Z,2014-03-05T00:00:21.0000000Z,2014-03-05T23:59:40.0000000Z,673.27,690.17141,651.9,669.99,12724.84430854,12719
64,2014-03-06T00:00:00.0000000Z,2014-03-07T00:00:00.0000000Z,2014-03-06T00:00:18.0000000Z,2014-03-06T23:59:54.0000000Z,669.0,693.0,650.0,669.57,10412.10970821,9663
65,2014-03-07T00:00:00.0000000Z,2014-03-08T00:00:00.0000000Z,2014-03-07T00:00:06.0000000Z,2014-03-07T23:59:55.0000000Z,669.57,680.463,613.45,632.79,21460.28165544,18336
66,2014-03-08T00:00:00.0000000Z,2014-03-09T00:00:00.0000000Z,2014-03-08T00:00:39.0000000Z,2014-03-08T23:59:38.0000000Z,632.79,667.98953,604.5,620.0,9703.22045635,12212
67,2014-03-09T00:00:00.0000000Z,2014-03-10T00:00:00.0000000Z,2014-03-09T00:01:27.0000000Z,2014-03-09T23:57:37.0000000Z,620.02,658.0,613.03,639.25,9123.49222903,9420
68,2014-03-10T00:00:00.0000000Z,2014-03-11T00:00:00.0000000Z,2014-03-10T00:00:38.0000000Z,2014-03-10T23:57:27.0000000Z,638.4,684.5,609.0,629.39,13356.62927441,14390
69,2014-03-11T00:00:00.0000000Z,2014-03-12T00:00:00.0000000Z,2014-03-11T00:01:23.0000000Z,2014-03-11T23:58:45.0000000Z,628.02,665.93423,560.0,632.1,9185.10663475,9224
70,2014-03-12T00:00:00.0000000Z,2014-03-13T00:00:00.0000000Z,2014-03-12T00:01:00.0000000Z,2014-03-12T23:59:46.0000000Z,631.72,660.0,550.275,634.95,12749.67736751,12339
71,2014-03-13T00:00:00.0000000Z,2014-03-14T00:00:00.0000000Z,2014-03-13T00:01:01.0000000Z,2014-03-13T23:59:50.0000000Z,634.95,657.99101,620.0,641.01,6732.53996894,6918
72,2014-03-14T00:00:00.0000000Z,2014-03-15T00:00:00.0000000Z,2014-03-14T00:00:36.0000000Z,2014-03-14T23:59:27.0000000Z,641.02,654.91385,550.0,630.42,8701.46592777,8423
73,2014-03-15T00:00:00.0000000Z,2014-03-16T00:00:00.0000000Z,2014-03-15T00:01:50.0000000Z,2014-03-15T23:57:37.0000000Z,631.0,646.0,618.29313,637.12,2205.4164758,3698
74,2014-03-16T00:00:00.0000000Z,2014-03-17T00:00:00.0000000Z,2014-03-16T00:03:04.0000000Z,2014-03-16T23:59:57.0000000Z,637.58,652.0,629.02,634.99,3301.20360838,3114
75,2014-03-17T00:00:00.0000000Z,2014-03-18T00:00:00.0000000Z,2014-03-17T00:00:18.0000000Z,2014-03-17T23:59:52.0000000Z,634.99,641.14149,616.00101,621.11,9166.99641636,7325
76,2014-03-18T00:00:00.0000000Z,2014-03-19T00:00:00.0000000Z,2014-03-18T00:02:23.0000000Z,2014-03-18T23:59:42.0000000Z,622.97,633.989,591.13,612.26,14916.84645802,11013
77,2014-03-19T00:00:00.0000000Z,2014-03-20T00:00:00.0000000Z,2014-03-19T00:01:38.0000000Z,2014-03-19T23:53:23.0000000Z,613.84,633.663,605.11,620.062,7085.44572415,8162
78,2014-03-20T00:00:00.0000000Z,2014-03-21T00:00:00.0000000Z,2014-03-20T00:02:37.0000000Z,2014-03-20T23:59:57.0000000Z,610.01,625.01788,578.66,587.98,10914.4931836,13361
79,2014-03-21T00:00:00.0000000Z,2014-03-22T00:00:00.0000000Z,2014-03-21T00:00:19.0000000Z,2014-03-21T23:57:31.0000000Z,585.6,615.22654,556.0,570.0,22434.44384309,22921
80,2014-03-22T00:00:00.0000000Z,2014-03-23T00:00:00.0000000Z,2014-03-22T00:00:26.0000000Z,2014-03-22T23:58:52.0000000Z,569.99,596.0,541.0,565.31,13626.13629388,14677
81,2014-03-23T00:00:00.0000000Z,2014-03-24T00:00:00.0000000Z,2014-03-23T00:00:41.0000000Z,2014-03-23T23:58:46.0000000Z,564.31,596.0,556.74,561.0,6097.1068193,9788
82,2014-03-24T00:00:00.0000000Z,2014-03-25T00:00:00.0000000Z,2014-03-24T00:00:14.0000000Z,2014-03-24T23:59:56.0000000Z,558.22,592.6,547.0,585.99,13679.74475735,13819
83,2014-03-25T00:00:00.0000000Z,2014-03-26T00:00:00.0000000Z,2014-03-25T00:00:21.0000000Z,2014-03-25T23:59:49.0000000Z,585.9,591.14973,568.86,583.77,8113.36011599,9025
84,2014-03-26T00:00:00.0000000Z,2014-03-27T00:00:00.0000000Z,2014-03-26T00:00:19.0000000Z,2014-03-26T23:59:48.0000000Z,583.77,641.14149,565.0,581.49,10323.44371371,10190
85,2014-03-27T00:00:00.0000000Z,2014-03-28T00:00:00.0000000Z,2014-03-27T00:00:43.0000000Z,2014-03-27T23:59:58.0000000Z,581.48,599.27378,466.1,475.0,49241.27009417,30159
86,2014-03-28T00:00:00.0000000Z,2014-03-29T00:00:00.0000000Z,2014-03-28T00:00:00.0000000Z,2014-03-28T23:59:54.0000000Z,475.0,553.0,468.3,502.01,35003.74454928,33393
87,2014-03-29T00:00:00.0000000Z,2014-03-30T00:00:00.0000000Z,2014-03-29T00:00:09.0000000Z,2014-03-29T23:58:39.0000000Z,502.01,518.0,486.97,491.99,7452.66617246,11762
88,2014-03-30T00:00:00.0000000Z,2014-03-31T00:00:00.0000000Z,2014-03-30T00:00:01.0000000Z,2014-03-30T23:58:51.0000000Z,491.99,506.17549,436.0,460.0,31416.73134134,34110
89,2014-03-31T00:00:00.0000000Z,2014-04-01T00:00:00.0000000Z,2014-03-31T00:01:46.0000000Z,2014-03-31T23:59:59.0000000Z,460.0,530.0,438.0,454.83,21004.23756856,29881
90,2014-04-01T00:00:00.0000000Z,2014-04-02T00:00:00.0000000Z,2014-04-01T00:00:00.0000000Z,2014-04-01T23:59:46.0000000Z,454.81,509.98,452.04,478.98,22925.05485959,25071
91,2014-04-02T00:00:00.0000000Z,2014-04-03T00:00:00.0000000Z,2014-04-02T00:00:10.0000000Z,2014-04-02T23:59:42.0000000Z,478.98,497.1468,430.0,439.0,34491.07171639,27272
92,2014-04-03T00:00:00.0000000Z,2014-04-04T00:00:00.0000000Z,2014-04-03T00:00:02.0000000Z,2014-04-03T23:58:42.0000000Z,438.9,465.0,416.11,450.86,26961.77410811,24848
93,2014-04-04T00:00:00.0000000Z,2014-04-05T00:00:00.0000000Z,2014-04-04T00:00:08.0000000Z,2014-04-04T23:59:21.0000000Z,451.03,550.0,430.77,452.2,15719.18900684,16350
94,2014-04-05T00:00:00.0000000Z,2014-04-06T00:00:00.0000000Z,2014-04-05T00:00:11.0000000Z,2014-04-05T23:59:56.0000000Z,449.74,467.85,441.25,464.8,6468.26208075,7156
95,2014-04-06T00:00:00.0000000Z,2014-04-07T00:00:00.0000000Z,2014-04-06T00:00:32.0000000Z,2014-04-06T23:59:52.0000000Z,464.8,469.43834,450.0,456.43,5288.96532972,6927
96,2014-04-07T00:00:00.0000000Z,2014-04-08T00:00:00.0000000Z,2014-04-07T00:00:16.0000000Z,2014-04-07T23:59:58.0000000Z,460.67,475.32049,446.0,447.11,7426.33430367,7176
97,2014-04-08T00:00:00.0000000Z,2014-04-09T00:00:00.0000000Z,2014-04-08T00:00:01.0000000Z,2014-04-08T23:58:48.0000000Z,447.11,465.8242,446.24,453.57,5846.09697935,7003
98,2014-04-09T00:00:00.0000000Z,2014-04-10T00:00:00.0000000Z,2014-04-09T00:03:17.0000000Z,2014-04-09T23:59:28.0000000Z,453.57,462.09031,438.08,441.69,8007.73626244,5917
99,2014-04-10T00:00:00.0000000Z,2014-04-11T00:00:00.0000000Z,2014-04-10T00:00:56.0000000Z,2014-04-10T23:59:59.0000000Z,441.69,450.01,357.57,363.12,49731.0647447,18122
100,2014-04-11T00:00:00.0000000Z,2014-04-12T00:00:00.0000000Z,2014-04-11T00:00:00.0000000Z,2014-04-11T23:59:25.0000000Z,363.1,583.75327,339.79,423.0,42142.80019735,19670
101,2014-04-12T00:00:00.0000000Z,2014-04-13T00:00:00.0000000Z,2014-04-12T00:00:02.0000000Z,2014-04-12T23:58:27.0000000Z,423.0,450.0,413.72,423.42,10817.80277939,7296
102,2014-04-13T00:00:00.0000000Z,2014-04-14T00:00:00.0000000Z,2014-04-13T00:00:22.0000000Z,2014-04-13T23:59:46.0000000Z,424.91,445.97999,397.16,416.3,11027.20038862,6068
103,2014-04-14T00:00:00.0000000Z,2014-04-15T00:00:00.0000000Z,2014-04-14T00:00:04.0000000Z,2014-04-14T23:57:37.0000000Z,416.29,480.06527,408.0,458.5,33683.36580981,18934
104,2014-04-15T00:00:00.0000000Z,2014-04-16T00:00:00.0000000Z,2014-04-15T00:00:14.0000000Z,2014-04-15T23:59:38.0000000Z,472.77984,573.66927,450.49878,521.0,32653.1188157,22647
105,2014-04-16T00:00:00.0000000Z,2014-04-17T00:00:00.0000000Z,2014-04-16T00:00:09.0000000Z,2014-04-16T23:59:57.0000000Z,523.1,548.0,490.55578,530.0,30761.72696926,20017
106,2014-04-17T00:00:00.0000000Z,2014-04-18T00:00:00.0000000Z,2014-04-17T00:00:12.0000000Z,2014-04-17T23:59:44.0000000Z,529.26,533.8,481.63,500.09,20068.77859313,17667
107,2014-04-18T00:00:00.0000000Z,2014-04-19T00:00:00.0000000Z,2014-04-18T00:00:07.0000000Z,2014-04-18T23:59:41.0000000Z,500.09,515.0,470.0,483.11,11174.3298323,9759
